feature,importance
Sağ Ön Çamurluk_changed,0.04054977469202805
Motor Kaputu_changed,0.03992849566400043
Sol Ön Çamurluk_changed,0.036290808861314194
Arka Tampon_painted,0.02533321778417803
Sol Ön Çamurluk_painted,0.020598402077745492
Sağ Ön Çamurluk_painted,0.02040821785430309
Sol Ön Kapı_painted,0.01983921632049814
Tavan_painted,0.016178951068887913
Arka Tampon_changed,0.015891489344427513
Arka Kaput_painted,0.01565091512011636
Sol Arka Çamurluk_painted,0.015456390573069523
Sağ Ön Kapı_painted,0.015441568379043058
Motor Kaputu_painted,0.01441997716719764
Sağ Arka Kapı_painted,0.013025514509669123
Sol Arka Kapı_painted,0.01284234457282223
Arka Kaput_changed,0.01134137577825034
Ön Tampon_changed,0.010676564676231858
Ön Tampon_painted,0.009429592374783335
Sol Arka Kapı_changed,0.007120894572971648
Sağ Arka Kapı_changed,0.007089544672255787
Sol Ön Kapı_changed,0.0062171477791239885
Sağ Arka Çamurluk_painted,0.006098732256919681
Sağ Ön Kapı_changed,0.0042271243833851505
Sol Arka Çamurluk_changed,0.003114801950336932
Sağ Arka Çamurluk_changed,0.0028697241230330904
Tavan_changed,0.0011708919252666262
